id,name,first_air_date,popularity,vote_average,vote_count,provider,provider_id,content-type,Action & Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Kids,Mystery,News,Reality,Sci-Fi & Fantasy,Soap,Talk,War & Politics,Western,Action,Adventure,Fantasy,History,Horror,Music,Romance,Science Fiction,TV Movie,Thriller,War,release_date,ticker
1403,Marvel's Agents of S.H.I.E.L.D.,2013-09-24,96.4415,7.5,3569,Netflix,8,TV Show,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-09-24,NFLX
34524,Teen Wolf,2011-06-05,93.8854,8.468,4385,Netflix,8,TV Show,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-06-05,NFLX
4239,Married... with Children,1987-04-05,95.7028,7.713,1071,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987-04-05,NFLX
4604,Smallville,2001-10-16,93.5422,8.204,4165,Netflix,8,TV Show,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001-10-16,NFLX
655,Star Trek: The Next Generation,1987-09-28,93.8059,8.367,1564,Netflix,8,TV Show,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987-09-28,NFLX
4630,The Fairly OddParents,2001-03-30,96.7259,7.563,1005,Netflix,8,TV Show,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001-03-30,NFLX
71728,Young Sheldon,2017-09-25,90.3242,8.049,2689,Netflix,8,TV Show,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-09-25,NFLX
60572,Pokémon,1997-04-01,94.6506,7.9,1945,Netflix,8,TV Show,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997-04-01,NFLX
4194,Star Wars: The Clone Wars,2008-10-03,90.4403,8.461,2110,Netflix,8,TV Show,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-10-03,NFLX
1620,CSI: Miami,2002-09-23,86.6312,7.7,1620,Netflix,8,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002-09-23,NFLX
