id,name,first_air_date,popularity,vote_average,vote_count,provider,provider_id,content-type,Action & Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Kids,Mystery,News,Reality,Sci-Fi & Fantasy,Soap,Talk,War & Politics,Western,Action,Adventure,Fantasy,History,Horror,Music,Romance,Science Fiction,TV Movie,Thriller,War,release_date,ticker,stock_return,market_return,abnormal_return
1433,American Dad!,2005-02-06,116.3339,6.972,2190,Netflix,8,TV Show,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-02-06,NFLX,-0.520415188651682,-0.8096711967811436,0.2892560081294616
31132,Regular Show,2010-09-06,108.3854,8.633,2083,Netflix,8,TV Show,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-09-06,NFLX,2.7434907608673136,1.130210312584935,1.6132804482823786
1402,The Walking Dead,2010-10-31,105.7678,8.1,16913,Netflix,8,TV Show,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-10-31,NFLX,2.4436877449299703,1.1465877504434194,1.297099994486551
1421,Modern Family,2009-09-23,102.8817,7.873,2935,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-09-23,NFLX,-1.259338706112837,-1.5543836954832018,0.29504498937036483
37680,Suits,2011-06-23,100.6148,8.226,5252,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-06-23,NFLX,0.48490601206391276,-1.1725787945559019,1.6574848066198147
71712,The Good Doctor,2017-09-25,104.1418,8.477,12531,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-09-25,NFLX,1.204141058379673,0.536722940092129,0.667418118287544
63174,Lucifer,2016-01-25,101.2828,8.45,14955,Netflix,8,TV Show,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-25,NFLX,-4.751814925302826,0.8673061179073552,-5.619121043210181
44217,Vikings,2013-03-03,99.4101,8.097,7143,Netflix,8,TV Show,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2013-03-03,NFLX,0.9547005898329232,1.066090367569954,-0.11138977773703085
2710,It's Always Sunny in Philadelphia,2005-08-04,102.5455,8.283,1148,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-08-04,NFLX,1.5988417106115265,-0.7638358323871648,2.362677542998691
95557,INVINCIBLE,2021-03-25,94.8963,8.636,4924,Netflix,8,TV Show,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-25,NFLX,1.0320969241125408,1.6631202604519693,-0.6310233363394284
1403,Marvel's Agents of S.H.I.E.L.D.,2013-09-24,96.4415,7.5,3569,Netflix,8,TV Show,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-09-24,NFLX,1.9282809544835644,-0.33403894136501533,2.26231989584858
